project_title,domain,tech_stack,batch_year,status,team_size,mentor
Fake News Detection using NLP 2022,AI/ML,"Python, Keras, Matplotlib",2022,Completed,3,Dr.K.T.Mane
Student Performance Prediction System 2022,AI/ML,"Python, Scikit-learn, Flask",2022,Completed,2,Dr. Nair
Medical Image Classification 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Completed,3,Dr. Nair
Medical Image Classification 2022,AI/ML,"Python, PyTorch, NumPy",2022,Completed,2,Dr. Nair
Crop Disease Detection using CNN 2022,AI/ML,"Python, Scikit-learn, Flask",2022,Ongoing,2,Dr. Kapil Kadam
Customer Churn Prediction 2022,AI/ML,"Python, Scikit-learn, Flask",2022,Completed,2,Dr.K.T.Mane
Real-time Object Detection System 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Completed,4,Dr. Nair
Face Recognition Attendance System 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Completed,2,Prof. Jitkar
Air Quality Prediction Model 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Completed,3,Dr. Khan
Air Quality Prediction Model 2022,AI/ML,"Python, OpenCV, YOLO",2022,Completed,3,Dr. Nair
Student Performance Prediction System 2022,AI/ML,"Python, Keras, Matplotlib",2022,Completed,4,Prof. Verma
Road Sign Recognition System 2022,AI/ML,"Python, BERT, HuggingFace",2022,Completed,1,Dr. Joshi
Spam Email Classifier 2022,AI/ML,"Python, BERT, HuggingFace",2022,Completed,3,Dr. Joshi
Fake News Detection using NLP 2022,AI/ML,"Python, TensorFlow, Pandas",2022,Completed,2,Dr. Kapil Kadam
Social Media Dashboard 2022,Web Dev,"Angular, Spring Boot, MySQL",2022,Completed,3,Dr. Khan
Hospital Appointment System 2022,Web Dev,"Angular, Spring Boot, MySQL",2022,Completed,3,Dr. Nair
Hospital Appointment System 2022,Web Dev,"React, Node.js, MongoDB",2022,Completed,2,Prof. Verma
Student Grievance System 2022,Web Dev,"React, Express, MySQL",2022,Completed,4,Prof. Jitkar
Library Management System 2022,Web Dev,"Next.js, Tailwind, Firebase",2022,Completed,3,Dr. Khan
Hospital Appointment System 2022,Web Dev,"Vue.js, Django, MySQL",2022,Completed,3,Dr. Kapil Kadam
Alumni Connect Portal 2022,Web Dev,"Next.js, Tailwind, Firebase",2022,Completed,4,Prof. Radhika Dhanal
Hospital Appointment System 2022,Web Dev,"React, Node.js, MongoDB",2022,Completed,3,Dr. Kapil Kadam
Online Food Ordering System 2022,Web Dev,"React, Node.js, MongoDB",2022,Completed,3,Dr. Khan
Alumni Connect Portal 2022,Web Dev,"React, Node.js, MongoDB",2022,Completed,4,Prof. Jitkar
College Fest Website 2022,Web Dev,"React, Node.js, MongoDB",2022,Abandoned,3,Dr. Khan
College ERP System 2022,Web Dev,"Angular, Spring Boot, MySQL",2022,Completed,2,Dr. Joshi
Job Portal with AI Matching 2022,Web Dev,"React, Node.js, MongoDB",2022,Completed,3,Prof. Radhika Dhanal
Online Voting System 2022,Web Dev,"Vue.js, Django, MySQL",2022,Completed,4,Prof. Verma
Online Voting System 2022,Web Dev,"Angular, Spring Boot, MySQL",2022,Completed,3,Dr.K.T.Mane
Event Management Platform 2022,Web Dev,"Vue.js, Django, MySQL",2022,Completed,2,Dr. Pardesi
Blood Bank Management System 2022,Web Dev,"Vue.js, Django, MySQL",2022,Completed,2,Dr. Kapil Kadam
Event Management Platform 2022,Web Dev,"Next.js, Tailwind, Firebase",2022,Completed,3,Dr.K.T.Mane
College ERP System 2022,Web Dev,"Angular, Spring Boot, MySQL",2022,Completed,3,Dr. Khan
Online Examination Portal 2022,Web Dev,"Vue.js, Django, MySQL",2022,Completed,2,Dr. Nair
Event Management Platform 2022,Web Dev,"React, Node.js, MongoDB",2022,Ongoing,2,Dr. Nair
E-Commerce Platform with Recommendations 2022,Web Dev,"React, Node.js, MongoDB",2022,Completed,3,Dr. Joshi
Vehicle Tracking System 2022,IoT,"ESP32, MicroPython, MQTT",2022,Completed,2,Prof. Verma
Precision Agriculture Monitoring 2022,IoT,"Arduino, C++, Bluetooth",2022,Completed,2,Dr. Nair
Waste Management System 2022,IoT,"Raspberry Pi, OpenCV, Python",2022,Completed,1,Prof. Jitkar
Vehicle Tracking System 2022,IoT,"Arduino, Python, MQTT",2022,Completed,2,Prof. Sunny Mohite
Smart Parking System 2022,IoT,"Arduino, C++, Bluetooth",2022,Completed,2,Dr. Joshi
Smart Energy Meter 2022,IoT,"Raspberry Pi, Python, Firebase",2022,Completed,3,Prof. Sunny Mohite
Smart Street Light Control 2022,IoT,"Raspberry Pi, OpenCV, Python",2022,Completed,4,Prof. Radhika Dhanal
Smart Energy Meter 2022,IoT,"Arduino, Python, MQTT",2022,Completed,3,Prof. Radhika Dhanal
Industrial Equipment Monitor,IoT,"Raspberry Pi, OpenCV, Python",2022,Completed,3,Prof. Jitkar
Smart Irrigation System,IoT,"Arduino, Python, MQTT",2022,Completed,5,Dr. Kapil Kadam
Vehicle Tracking System 2022,IoT,"ESP32, MicroPython, MQTT",2022,Completed,5,Prof. Radhika Dhanal
Smart Energy Meter 2022,IoT,"Arduino, Python, MQTT",2022,Completed,3,Prof. Verma
Precision Agriculture Monitoring 2022,IoT,"ESP32, MicroPython, MQTT",2022,Ongoing,3,Prof. Sunny Mohite
Industrial Equipment Monitor 2022,IoT,"Raspberry Pi, Python, Firebase",2022,Completed,3,Prof. Verma
Vulnerability Scanner Tool 2022,Cybersecurity,"Python, Scapy, Burp Suite",2022,Completed,5,Dr. Kapil Kadam
Vulnerability Scanner Tool 2022,Cybersecurity,"Python, Wireshark, Metasploit",2022,Completed,2,Dr. Nair
Phishing Website Detector 2022,Cybersecurity,"Python, Wireshark, Metasploit",2022,Completed,4,Dr. Joshi
Digital Forensics Framework 2022,Cybersecurity,"Python, Snort, Wireshark",2022,Completed,4,Dr. Nair
Firewall Rule Optimizer 2022,Cybersecurity,"Python, Scapy, Burp Suite",2022,Completed,2,Dr. Joshi
Malware Analysis System,Cybersecurity,"Python, Scapy, Burp Suite",2022,Completed,3,Prof. Radhika Dhanal
Malware Analysis System 2022,Cybersecurity,"Python, Snort, Wireshark",2022,Completed,2,Dr. Pardesi
Password Strength Analyzer 2022,Cybersecurity,"Python, Wireshark, Metasploit",2022,Completed,3,Dr. Joshi
Network Intrusion Detection System 2022,Cybersecurity,"Python, Snort, Wireshark",2022,Ongoing,3,Prof. Sunny Mohite
Firewall Rule Optimizer 2022,Cybersecurity,"Python, Snort, Wireshark",2022,Completed,5,Dr. Joshi
Expense Tracker Application 2022,Mobile,"Android, Java, SQLite",2022,Abandoned,2,Dr. Kapil Kadam
Campus Navigation App 2022,Mobile,"React Native, Node.js, MongoDB",2022,Completed,5,Prof. Verma
Food Delivery Clone App 2022,Mobile,"Android, Java, SQLite",2022,Completed,2,Prof. Jitkar
E-Learning Mobile Platform 2022,Mobile,"Flutter, Dart, Firebase",2022,Completed,3,Prof. Radhika Dhanal
E-Learning Mobile Platform 2022,Mobile,"Flutter, Dart, Firebase",2022,Completed,3,Dr. Pardesi
Food Delivery Clone App 2022,Mobile,"Android, Java, SQLite",2022,Completed,3,Dr. Khan
Event Management Mobile App 2022,Mobile,"Swift, iOS, CoreData",2022,Completed,3,Prof. Radhika Dhanal
Supply Chain on Blockchain,Blockchain,"Python, Web3.py, Ethereum",2022,Completed,4,Dr. Kapil Kadam
Certificate Verification System 2022,Blockchain,"Python, Web3.py, Ethereum",2022,Completed,3,Prof. Verma
Decentralized Voting System 2022,Blockchain,"Python, Web3.py, Ethereum",2022,Completed,3,Dr.K.T.Mane
Supply Chain on Blockchain 2022,Blockchain,"Solidity, Hardhat, Web3.js",2022,Completed,2,Dr. Joshi
NFT Marketplace Platform,Blockchain,"Solidity, Ethereum, React",2022,Abandoned,2,Dr. Pardesi
Serverless REST API System 2022,Cloud,"GCP, Python, Pub/Sub",2022,Completed,4,Prof. Verma
Serverless REST API System 2022,Cloud,"GCP, Python, Pub/Sub",2022,Completed,4,Dr. Kapil Kadam
Microservices Architecture Demo,Cloud,"Azure, Kubernetes, Terraform",2022,Completed,2,Dr. Nair
VR Classroom Simulator 2022,AR/VR,"Unity, Vuforia, C#",2022,Completed,3,Prof. Sunny Mohite
Virtual Lab Simulation 2022,AR/VR,"Unity, Vuforia, C#",2022,Completed,3,Dr. Joshi
Stock Price Prediction Model 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,5,Dr. Joshi
Medical Image Classification 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,3,Dr. Joshi
Sign Language Translator 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,3,Prof. Jitkar
AI Chatbot using NLP 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,2,Dr. Pardesi
Student Performance Prediction System 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,3,Prof. Radhika Dhanal
Air Quality Prediction Model 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,4,Dr. Pardesi
Sign Language Translator 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,3,Prof. Sunny Mohite
Sign Language Translator 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Ongoing,3,Prof. Jitkar
Air Quality Prediction Model 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,5,Dr. Khan
Stock Price Prediction Model 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,2,Dr. Khan
Real-time Object Detection System 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,5,Dr. Joshi
Real-time Object Detection System 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,3,Prof. Radhika Dhanal
Crop Disease Detection using CNN 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,2,Dr. Nair
Air Quality Prediction Model 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,2,Dr. Pardesi
Sentiment Analysis of Reviews 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,3,Dr. Nair
Sign Language Translator 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,5,Dr. Nair
Customer Churn Prediction 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,3,Dr. Kapil Kadam
Road Sign Recognition System 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,3,Dr. Nair
Brain Tumor Detection using MRI 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,2,Dr. Khan
Fake News Detection using NLP 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,4,Prof. Verma
Customer Churn Prediction 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,3,Prof. Jitkar
Hand Gesture Recognition 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,3,Prof. Radhika Dhanal
Hand Gesture Recognition 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,3,Dr. Nair
Face Recognition Attendance System 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,3,Dr. Kapil Kadam
Sign Language Translator 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,2,Dr. Kapil Kadam
Fake News Detection using NLP 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,3,Dr. Pardesi
Medical Image Classification 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,4,Dr. Khan
Road Sign Recognition System 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,4,Dr. Joshi
Resume Screening using AI 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,2,Dr. Khan
Student Performance Prediction System 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,2,Dr. Khan
Brain Tumor Detection using MRI 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,4,Prof. Jitkar
Face Recognition Attendance System 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,3,Prof. Verma
Resume Screening using AI 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,2,Dr. Nair
AI Chatbot using NLP 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,2,Dr. Khan
Road Sign Recognition System 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,3,Dr. Kapil Kadam
Sign Language Translator 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,3,Dr. Khan
Loan Default Prediction 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,5,Dr.K.T.Mane
Fake News Detection using NLP 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,3,Dr. Kapil Kadam
Crop Disease Detection using CNN 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,3,Dr. Joshi
Student Performance Prediction System 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,4,Dr. Khan
Hand Gesture Recognition 2023,AI/ML,"Python, BERT, HuggingFace",2023,Ongoing,1,Dr. Kapil Kadam
Sign Language Translator 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,4,Dr. Nair
Real-time Object Detection System 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,2,Dr. Pardesi
Stock Price Prediction Model 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,2,Prof. Verma
Spam Email Classifier 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,4,Dr. Joshi
Medical Image Classification 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,5,Dr. Joshi
Medical Image Classification 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,2,Dr. Kapil Kadam
Sign Language Translator 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,5,Dr. Khan
Hand Gesture Recognition 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,3,Dr. Pardesi
AI Chatbot using NLP 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,3,Dr. Kapil Kadam
Hand Gesture Recognition 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,5,Dr. Kapil Kadam
Stock Price Prediction Model 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,3,Dr. Khan
Sign Language Translator 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,4,Prof. Radhika Dhanal
Road Sign Recognition System 2023,AI/ML,"Python, BERT, HuggingFace",2023,Abandoned,3,Prof. Verma
Brain Tumor Detection using MRI 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,2,Dr. Khan
Fake News Detection using NLP 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,3,Dr. Kapil Kadam
Customer Churn Prediction 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,4,Dr. Kapil Kadam
Brain Tumor Detection using MRI 2023,AI/ML,"Python, OpenCV, YOLO",2023,Ongoing,2,Prof. Radhika Dhanal
Air Quality Prediction Model 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,2,Prof. Sunny Mohite
Hand Gesture Recognition 2023,AI/ML,"Python, OpenCV, YOLO",2023,Ongoing,4,Dr. Pardesi
Medical Image Classification 2023,AI/ML,"Python, Keras, Matplotlib",2023,Ongoing,2,Dr. Pardesi
Loan Default Prediction 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,3,Dr. Nair
Fraud Detection System 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,3,Dr. Nair
Face Recognition Attendance System 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,4,Prof. Radhika Dhanal
Student Performance Prediction System 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,2,Prof. Sunny Mohite
Fraud Detection System 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,1,Prof. Verma
Road Sign Recognition System 2023,AI/ML,"Python, Keras, Matplotlib",2023,Ongoing,3,Prof. Jitkar
Road Sign Recognition System 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,2,Dr. Joshi
Brain Tumor Detection using MRI 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,2,Dr. Kapil Kadam
Face Recognition Attendance System 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,5,Dr. Khan
Spam Email Classifier 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,3,Prof. Radhika Dhanal
Face Recognition Attendance System 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,2,Prof. Sunny Mohite
Real-time Object Detection System 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,5,Dr. Nair
Brain Tumor Detection using MRI 2023,AI/ML,"Python, PyTorch, NumPy",2023,Abandoned,5,Dr. Khan
Fraud Detection System 2023,AI/ML,"Python, Keras, Matplotlib",2023,Completed,4,Dr. Joshi
Air Quality Prediction Model 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,2,Dr.K.T.Mane
Fake News Detection using NLP 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,5,Prof. Sunny Mohite
Fraud Detection System 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,2,Dr. Nair
Drowsiness Detection System 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,4,Prof. Jitkar
Real-time Object Detection System 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,4,Dr. Khan
Student Performance Prediction System 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,3,Dr. Khan
Customer Churn Prediction 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,3,Prof. Verma
Resume Screening using AI 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,2,Prof. Radhika Dhanal
Spam Email Classifier 2023,AI/ML,"Python, Scikit-learn, Flask",2023,Completed,2,Dr. Khan
Real-time Object Detection System 2023,AI/ML,"Python, PyTorch, NumPy",2023,Completed,3,Dr.K.T.Mane
Student Performance Prediction System 2023,AI/ML,"Python, TensorFlow, Pandas",2023,Completed,2,Dr. Joshi
Air Quality Prediction Model 2023,AI/ML,"Python, BERT, HuggingFace",2023,Completed,4,Dr. Kapil Kadam
Face Recognition Attendance System 2023,AI/ML,"Python, OpenCV, YOLO",2023,Completed,3,Dr. Nair
Student Grievance System 2023,Web Dev,"Vue.js, Django, MySQL",2023,Completed,3,Prof. Verma
Online Food Ordering System 2023,Web Dev,"Next.js, Tailwind, Firebase",2023,Completed,2,Dr.K.T.Mane
Library Management System 2023,Web Dev,"Vue.js, Django, MySQL",2023,Completed,5,Dr. Nair
Social Media Dashboard 2023,Web Dev,"React, Node.js, MongoDB",2023,Completed,2,Dr. Nair
Event Management Platform 2023,Web Dev,"React, Express, MySQL",2023,Completed,3,Dr. Kapil Kadam
Online Food Ordering System 2023,Web Dev,"Angular, Spring Boot, MySQL",2023,Completed,3,Prof. Sunny Mohite
E-Commerce Platform with Recommendations 2023,Web Dev,"Angular, Spring Boot, MySQL",2023,Ongoing,2,Dr.K.T.Mane
Placement Management Portal 2023,Web Dev,"Vue.js, Django, MySQL",2023,Completed,3,Prof. Sunny Mohite
Hospital Appointment System 2023,Web Dev,"Angular, Spring Boot, MySQL",2023,Completed,5,Dr.K.T.Mane
Student Grievance System 2023,Web Dev,"React, Express, MySQL",2023,Completed,3,Dr. Joshi
Online Food Ordering System 2023,Web Dev,"Next.js, Tailwind, Firebase",2023,Completed,2,Prof. Verma
Library Management System 2023,Web Dev,"Angular, Spring Boot, MySQL",2023,Completed,4,Dr. Pardesi
Event Management Platform 2023,Web Dev,"Next.js, Tailwind, Firebase",2023,Completed,2,Prof. Verma
Social Media Dashboard 2023,Web Dev,"React, Express, MySQL",2023,Ongoing,5,Dr. Pardesi
Student Grievance System 2023,Web Dev,"React, Express, MySQL",2023,Completed,3,Dr. Joshi
Library Management System 2023,Web Dev,"Angular, Spring Boot, MySQL",2023,Ongoing,4,Dr. Pardesi
Social Media Dashboard 2023,Web Dev,"React, Node.js, MongoDB",2023,Completed,3,Prof. Jitkar
College Fest Website 2023,Web Dev,"Vue.js, Django, MySQL",2023,Ongoing,4,Dr. Pardesi
E-Commerce Platform with Recommendations 2023,Web Dev,"Vue.js, Django, MySQL",2023,Ongoing,2,Dr. Joshi
Alumni Connect Portal 2023,Web Dev,"Vue.js, Django, MySQL",2023,Completed,2,Prof. Verma
Smart Irrigation System 2023,IoT,"Raspberry Pi, OpenCV, Python",2023,Completed,2,Dr. Nair
Vehicle Tracking System 2023,IoT,"Raspberry Pi, Python, Firebase",2023,Completed,3,Prof. Verma
Health Monitoring Wearable 2023,IoT,"Raspberry Pi, Python, Firebase",2023,Completed,3,Dr. Joshi
Precision Agriculture Monitoring 2023,IoT,"Raspberry Pi, Python, Firebase",2023,Completed,3,Dr. Kapil Kadam
Smart Energy Meter 2023,IoT,"ESP32, MicroPython, MQTT",2023,Completed,2,Dr. Pardesi
Industrial Equipment Monitor 2023,IoT,"Arduino, C++, Bluetooth",2023,Completed,5,Prof. Radhika Dhanal
Vehicle Tracking System 2023,IoT,"Raspberry Pi, Python, Firebase",2023,Completed,3,Dr.K.T.Mane
Smart Parking System 2023,IoT,"ESP32, MicroPython, MQTT",2023,Completed,2,Dr.K.T.Mane
Smart Energy Meter 2023,IoT,"ESP32, MicroPython, MQTT",2023,Completed,3,Dr. Pardesi
Smart Home Automation System,IoT,"Arduino, Python, MQTT",2023,Completed,3,Dr. Khan
Smart Irrigation System 2023,IoT,"ESP32, MicroPython, MQTT",2023,Abandoned,3,Dr. Joshi
Smart Parking System 2023,IoT,"Raspberry Pi, OpenCV, Python",2023,Completed,2,Prof. Radhika Dhanal
Industrial Equipment Monitor 2023,IoT,"Raspberry Pi, Python, Firebase",2023,Completed,3,Dr. Kapil Kadam
Smart Home Automation System 2023,IoT,"Arduino, C++, Bluetooth",2023,Completed,3,Prof. Sunny Mohite
Smart Parking System 2023,IoT,"Raspberry Pi, OpenCV, Python",2023,Completed,4,Prof. Jitkar
Smart Street Light Control 2023,IoT,"Arduino, C++, Bluetooth",2023,Completed,3,Dr. Kapil Kadam
Smart Parking System 2023,IoT,"ESP32, MicroPython, MQTT",2023,Completed,2,Dr. Pardesi
Smart Energy Meter 2023,IoT,"Raspberry Pi, Python, Firebase",2023,Completed,2,Dr. Khan
Smart Irrigation System 2023,IoT,"Raspberry Pi, OpenCV, Python",2023,Completed,1,Dr. Khan
Health Monitoring Wearable 2023,IoT,"Arduino, Python, MQTT",2023,Completed,3,Dr. Kapil Kadam
Smart Energy Meter 2023,IoT,"Raspberry Pi, OpenCV, Python",2023,Ongoing,4,Dr. Pardesi
Precision Agriculture Monitoring 2023,IoT,"Arduino, C++, Bluetooth",2023,Completed,2,Dr. Kapil Kadam
Waste Management System 2023,IoT,"Raspberry Pi, Python, Firebase",2023,Completed,5,Dr. Khan
Smart Energy Meter 2023,IoT,"Raspberry Pi, OpenCV, Python",2023,Ongoing,4,Prof. Sunny Mohite
Health Monitoring Wearable 2023,IoT,"Raspberry Pi, OpenCV, Python",2023,Completed,2,Dr. Joshi
Smart Street Light Control 2023,IoT,"Arduino, C++, Bluetooth",2023,Completed,3,Dr.K.T.Mane
Smart Street Light Control 2023,IoT,"Raspberry Pi, OpenCV, Python",2023,Completed,3,Dr. Kapil Kadam
Industrial Equipment Monitor 2023,IoT,"Raspberry Pi, OpenCV, Python",2023,Completed,3,Dr. Nair
Digital Forensics Framework 2023,Cybersecurity,"Python, Wireshark, Metasploit",2023,Ongoing,3,Dr.K.T.Mane
Digital Forensics Framework 2023,Cybersecurity,"Python, Nmap, Kali Linux",2023,Completed,3,Dr.K.T.Mane
Digital Forensics Framework 2023,Cybersecurity,"Python, Scapy, Burp Suite",2023,Completed,3,Dr.K.T.Mane
Vulnerability Scanner Tool 2023,Cybersecurity,"Python, Wireshark, Metasploit",2023,Completed,2,Prof. Radhika Dhanal
Network Intrusion Detection System 2023,Cybersecurity,"Python, Wireshark, Metasploit",2023,Abandoned,3,Dr. Pardesi
Steganography Tool 2023,Cybersecurity,"Python, Nmap, Kali Linux",2023,Completed,4,Prof. Jitkar
Firewall Rule Optimizer 2023,Cybersecurity,"Python, Snort, Wireshark",2023,Completed,5,Prof. Jitkar
Steganography Tool 2023,Cybersecurity,"Python, Wireshark, Metasploit",2023,Completed,3,Prof. Verma
Phishing Website Detector 2023,Cybersecurity,"Python, Scapy, Burp Suite",2023,Completed,5,Prof. Jitkar
Phishing Website Detector 2023,Cybersecurity,"Python, Nmap, Kali Linux",2023,Completed,4,Dr. Pardesi
Digital Forensics Framework 2023,Cybersecurity,"Python, Snort, Wireshark",2023,Completed,4,Prof. Sunny Mohite
Digital Forensics Framework 2023,Cybersecurity,"Python, Scapy, Burp Suite",2023,Completed,2,Prof. Radhika Dhanal
Network Intrusion Detection System 2023,Cybersecurity,"Python, Snort, Wireshark",2023,Completed,5,Dr.K.T.Mane
Vulnerability Scanner Tool 2023,Cybersecurity,"Python, Nmap, Kali Linux",2023,Completed,3,Dr. Joshi
Network Intrusion Detection System 2023,Cybersecurity,"Python, Nmap, Kali Linux",2023,Completed,3,Prof. Sunny Mohite
Vulnerability Scanner Tool 2023,Cybersecurity,"Python, Wireshark, Metasploit",2023,Completed,5,Prof. Sunny Mohite
Firewall Rule Optimizer 2023,Cybersecurity,"Python, Scapy, Burp Suite",2023,Completed,4,Prof. Verma
Vulnerability Scanner Tool 2023,Cybersecurity,"Python, Snort, Wireshark",2023,Completed,2,Dr. Nair
Phishing Website Detector 2023,Cybersecurity,"Python, Snort, Wireshark",2023,Completed,1,Dr. Khan
Steganography Tool 2023,Cybersecurity,"Python, Scapy, Burp Suite",2023,Completed,3,Dr. Pardesi
Steganography Tool 2023,Cybersecurity,"Python, Nmap, Kali Linux",2023,Completed,3,Prof. Sunny Mohite
